G o. </w>	Va </w> ! </w>
They're </w> mine. </w>	Ils </w> sont </w> à </w> moi. </w>
They're </w> mine. </w>	Ils </w> sont </w> miens. </w>
They're </w> mine. </w>	Ce </w> sont </w> les </w> miens. </w>
They're </w> mine. </w>	Ce </w> sont </w> les </w> miennes. </w>
They're </w> mine. </w>	Elles </w> sont </w> miennes. </w>
They're </w> mine. </w>	Elles </w> sont </w> à </w> moi. </w>
They're </w> rich. </w>	Ils </w> sont </w> riches. </w>
They're </w> rich. </w>	Elles </w> sont </w> riches. </w>
They're </w> safe. </w>	Ils </w> vont </w> bien. </w>
They're </w> safe. </w>	Ils </w> sont </w> en </w> sécurité. </w>
They're </w> safe. </w>	Elles </w> sont </w> en </w> sécurité. </w>
They're </w> weak. </w>	Ils </w> sont </w> faibles. </w>
They're </w> weak. </w>	Elles </w> sont </w> faibles. </w>
Things </w> break. </w>	Les </w> choses </w> se </w> cass ent. </w>
This </w> is </w> easy. </w>	C'est </w> simple. </w>
This </w> is </w> fine. </w>	C'est </w> parfait. </w>
This </w> is </w> food. </w>	C'est </w> de </w> la </w> nourriture. </w>
This </w> is </w> free. </w>	C'est </w> gratuit. </w>
This </w> is </w> gold. </w>	C'est </w> de </w> l' or. </w>
This </w> is </w> hers. </w>	Ce </w> sont </w> les </w> si ens. </w>
This </w> is </w> hers. </w>	Ce </w> sont </w> les </w> si ennes. </w>
This </w> is </w> hu ge. </w>	C'est </w> énor me. </w>
This </w> is </w> la me. </w>	C'est </w> mauvais. </w>
This </w> is </w> life ! </w>	C'est </w> la </w> vie </w> ! </w>
This </w> is </w> love. </w>	C'est </w> l'amour. </w>
This </w> is </w> love. </w>	C'est </w> de </w> l'amour. </w>
This </w> is </w> mine. </w>	C'est </w> le </w> mien. </w>
This </w> is </w> mine. </w>	Il </w> s'agit </w> du </w> mien. </w>
This </w> is </w> nice. </w>	C'est </w> chouette. </w>
This </w> is </w> ours. </w>	C'est </w> le </w> nôtre. </w>
This </w> is </w> sick. </w>	C'est </w> dingue. </w>
This </w> is </w> ugly. </w>	C'est </w> hide ux. </w>
This </w> is </w> ugly. </w>	C'est </w> laid. </w>
Tom </w> appro ves. </w>	Tom </w> est </w> d'accord. </w>
Tom </w> can </w> walk. </w>	Tom </w> peut </w> marcher. </w>
Tom </w> finished. </w>	Tom </w> a </w> fini. </w>
Tom </w> got </w> weak. </w>	Tom </w> est </w> devenu </w> faible. </w>
Tom </w> got </w> weak. </w>	Tom </w> devint </w> faible. </w>
Tom </w> hates </w> me. </w>	Tom </w> me </w> déteste. </w>
Tom </w> is </w> a </w> spy. </w>	Tom </w> est </w> un </w> esp ion. </w>
Tom </w> is </w> awful. </w>	Tom </w> est </w> horrible. </w>
Tom </w> is </w> blind. </w>	Tom </w> est </w> aveugle. </w>
Tom </w> is </w> cruel. </w>	Tom </w> est </w> cruel. </w>
Tom </w> is </w> drunk. </w>	Tom </w> est </w> soû l. </w>
Tom </w> is </w> drunk. </w>	Tom </w> est </w> saoul. </w>
Tom </w> is </w> drunk. </w>	Tom </w> est </w> ivre. </w>
Tom </w> is </w> dying. </w>	Tom </w> meur t. </w>
Tom </w> is </w> dying. </w>	Thomas </w> est </w> mour ant. </w>
Tom </w> is </w> happy. </w>	Tom </w> est </w> content. </w>
Tom </w> is </w> lying. </w>	Tom </w> ment. </w>
Tom </w> is </w> naive. </w>	Tom </w> est </w> naïf. </w>
Tom </w> is </w> quiet. </w>	Tom </w> est </w> silencieux. </w>
Tom </w> is </w> small. </w>	Tom </w> est </w> petit. </w>
Tom </w> is </w> there. </w>	Tom </w> est </w> là-bas. </w>
Tom </w> listen ed. </w>	Tom </w> écout a. </w>
Tom </w> loved </w> it. </w>	Tom </w> adorait </w> ça. </w>
Tom </w> needs </w> me. </w>	Tom </w> a </w> besoin </w> de </w> moi. </w>
Tom </w> saw </w> Mary. </w>	Tom </w> a </w> vu </w> Mary. </w>
Tom </w> shr ug ged. </w>	Tom </w> haus sa </w> les </w> épaules. </w>
Tom </w> stole </w> it. </w>	Tom </w> l'a </w> volé. </w>
Tom </w> st ut ters. </w>	Tom </w> bé ga ie. </w>
Tom </w> was </w> poor. </w>	Tom </w> était </w> pauvre. </w>
Tom </w> was </w> safe. </w>	Tom </w> était </w> en </w> sécurité. </w>
Tom </w> was </w> safe. </w>	Tom </w> était </w> sain </w> et </w> sauf. </w>
Tom </w> was </w> shot. </w>	Tom </w> s'est </w> fait </w> tirer </w> dessus. </w>
Tom </w> will </w> cry. </w>	Tom </w> va </w> pleurer. </w>
Tom's </w> afraid. </w>	Tom </w> est </w> effrayé. </w>
Tom's </w> afraid. </w>	Tom </w> est </w> apeur é. </w>
Tom's </w> asleep. </w>	Tom </w> est </w> endormi. </w>
Tom's </w> coming. </w>	Tom </w> vient. </w>
Tom's </w> coming. </w>	Tom </w> arrive. </w>
Tom's </w> eating. </w>	Tom </w> est </w> en </w> train </w> de </w> manger. </w>
Tom's </w> famous. </w>	Tom </w> est </w> célèbre. </w>
Tom's </w> famous. </w>	Tom </w> est </w> connu. </w>
Tom's </w> guilty. </w>	Tom </w> est </w> coupable. </w>
Tom's </w> hungry. </w>	Tom </w> a </w> faim. </w>
Tom's </w> polite. </w>	Tom </w> est </w> poli . </w>
Tom's </w> scared. </w>	Tom </w> est </w> effrayé. </w>
Tom's </w> scared. </w>	Tom </w> est </w> apeur é. </w>
Tom's </w> stoned. </w>	Tom </w> est </w> dé fon cé. </w>
Tom's </w> stoned. </w>	Tom </w> est </w> stone. </w>
Trust </w> no </w> one. </w>	Ne </w> vous </w> fiez </w> à </w> personne </w> ! </w>
Trust </w> no </w> one. </w>	Ne </w> te </w> fie </w> à </w> personne </w> ! </w>
Trust </w> no </w> one. </w>	Ne </w> fais </w> confiance </w> à </w> personne </w> ! </w>
Trust </w> no </w> one. </w>	Ne </w> faites </w> confiance </w> à </w> personne </w> ! </w>
Try </w> it </w> again. </w>	Essaie </w> encore. </w>
Try </w> it </w> again. </w>	Essaye </w> encore. </w>
Try </w> it </w> again. </w>	Essaie </w> de </w> nouveau. </w>
Try </w> it </w> again. </w>	Essaye </w> de </w> nouveau. </w>
Try </w> it </w> again. </w>	Essaie </w> à </w> nouveau. </w>
Try </w> it </w> again. </w>	Essaye </w> à </w> nouveau. </w>
Try </w> to </w> sleep. </w>	Essaie </w> de </w> dormir. </w>
Try </w> to </w> sleep. </w>	Essayez </w> de </w> dormir. </w>
Un believ able ! </w>	In croy able </w> ! </w>
Use </w> them </w> all. </w>	Utilise -les </w> tous </w> ! </w>
Use </w> them </w> all. </w>	Utilise -les </w> toutes </w> ! </w>
Use </w> them </w> all. </w>	Utilise z-les </w> tous </w> ! </w>
Use </w> them </w> all. </w>	Utilise z-les </w> toutes </w> ! </w>
Wait </w> a </w> while. </w>	Attendez </w> un </w> moment. </w>
Wait </w> a </w> while. </w>	Attends </w> un </w> moment </w> ! </w>
Wait </w> for </w> Tom. </w>	Attends </w> Tom. </w>
Wait </w> for </w> Tom. </w>	Attendez </w> Tom. </w>
Wake </w> up, </w> Tom. </w>	Réveille -toi , </w> Tom </w> ! </w>
W ant </w> a </w> drink? </w>	Veux-tu </w> un </w> verre </w> ? </w>
Was </w> it </w> funny? </w>	Était-ce </w> drôle </w> ? </w>
We </w> all </w> cried. </w>	Nous </w> avons </w> tous </w> pleuré. </w>
We </w> all </w> cried. </w>	Nous </w> avons </w> toutes </w> pleuré. </w>
We </w> apologize. </w>	Nous </w> présent ons </w> nos </w> excuses. </w>
We </w> are </w> Arab s. </w>	Nous </w> sommes </w> ar ab es. </w>
We </w> are </w> happy. </w>	Nous </w> sommes </w> heureux. </w>
We </w> can't </w> win. </w>	Nous </w> ne </w> pouvons </w> par </w> l'emporter. </w>
We </w> could </w> die. </w>	Nous </w> pourrions </w> mourir. </w>
We </w> felt </w> good. </w>	Nous </w> nous </w> sommes </w> sentis </w> bien. </w>
We </w> get </w> on </w> OK. </w>	Nous </w> nous </w> entend ons </w> bien. </w>
We </w> get </w> on </w> OK. </w>	On </w> s' entend </w> bien. </w>
We </w> got </w> lucky. </w>	Nous </w> avons </w> eu </w> de </w> la </w> chance. </w>
We </w> got </w> lucky. </w>	On </w> a </w> eu </w> de </w> la </w> chance. </w>
We </w> got </w> ready. </w>	Nous </w> nous </w> sommes </w> ap prêté s. </w>
We </w> got </w> ready. </w>	Nous </w> nous </w> sommes </w> ap prêté es. </w>
We </w> have </w> hope. </w>	Nous </w> avons </w> de </w> l'espoir. </w>
We </w> have </w> room. </w>	Nous </w> avons </w> de </w> la </w> place. </w>
We </w> have </w> room. </w>	Nous </w> avons </w> de </w> l' espace. </w>
We </w> have </w> wine. </w>	Nous </w> avons </w> du </w> vin. </w>
We </w> knew </w> that. </w>	Nous </w> savions </w> cela. </w>
We </w> live </w> here. </w>	Nous </w> vivons </w> ici. </w>
We </w> love </w> them. </w>	Nous </w> les </w> ai mon s. </w>
We </w> loved </w> you. </w>	Nous </w> t'ai m ions. </w>
We </w> loved </w> you. </w>	Nous </w> vous </w> aim ions. </w>
We </w> met </w> today. </w>	Nous </w> nous </w> sommes </w> rencontrés </w> aujourd'hui. </w>
We </w> met </w> today. </w>	Nous </w> nous </w> sommes </w> rencontrées </w> aujourd'hui. </w>
We </w> might </w> die. </w>	Il </w> se </w> pourrait </w> que </w> nous </w> mour ions. </w>
We </w> must </w> obey. </w>	Il </w> nous </w> faut </w> obé ir. </w>
We </w> must </w> talk. </w>	Il </w> nous </w> faut </w> discuter. </w>
We </w> must </w> talk. </w>	Il </w> faut </w> que </w> nous </w> discut ions. </w>
We </w> must </w> wait. </w>	Il </w> nous </w> faut </w> attendre. </w>
We </w> need </w> both. </w>	Nous </w> avons </w> besoin </w> des </w> deux. </w>
We </w> need </w> help. </w>	Nous </w> avons </w> besoin </w> d'aide. </w>
We </w> need </w> more. </w>	Nous </w> avons </w> besoin </w> de </w> plus. </w>
We </w> need </w> rest. </w>	Nous </w> avons </w> besoin </w> de </w> repos. </w>
We </w> need </w> time. </w>	Il </w> nous </w> faut </w> du </w> temps. </w>
We </w> needed </w> it. </w>	Nous </w> en </w> avions </w> besoin. </w>
We </w> overslept. </w>	Nous </w> n'avons </w> pas </w> entendu </w> le </w> réve il. </w>
We </w> overslept. </w>	Nous </w> n' entendîmes </w> pas </w> le </w> réve il. </w>
We </w> sat </w> there. </w>	Nous </w> nous </w> sommes </w> assis </w> là-bas. </w>
We </w> should </w> go. </w>	Nous </w> devrions </w> partir. </w>
We </w> succeeded ! </w>	Nous </w> avons </w> réussi </w> ! </w>
We </w> succeeded. </w>	Nous </w> avons </w> réussi. </w>
We </w> surrender. </w>	Nous </w> nous </w> rend ons. </w>
We </w> trust </w> him. </w>	Nous </w> avons </w> confiance </w> en </w> lui. </w>
We </w> want </w> jobs. </w>	Nous </w> voulons </w> des </w> emplo is. </w>
We </w> were </w> busy. </w>	Nous </w> étions </w> occupés. </w>
We </w> were </w> busy. </w>	Nous </w> étions </w> occupées. </w>
We'll </w> attack. </w>	Nous </w> atta quer ons. </w>
We'll </w> attend. </w>	Nous </w> y </w> assister ons. </w>
We'll </w> decide. </w>	Nous </w> décider ons. </w>
We'll </w> follow . </w>	Nous </w> sui vr ons. </w>
We'll </w> manage. </w>	Nous </w> y </w> arriver ons. </w>
We'll </w> manage. </w>	Nous </w> nous </w> débrouiller ons. </w>
We'll </w> manage. </w>	Nous </w> g èrer ons. </w>
We'll </w> star ve. </w>	Nous </w> mour rons </w> de </w> faim. </w>
We're </w> a </w> team. </w>	Nous </w> sommes </w> une </w> équipe. </w>
We're </w> adults. </w>	Nous </w> sommes </w> des </w> adultes. </w>
We're </w> all </w> OK. </w>	Nous </w> allons </w> tous </w> bien. </w>
We're </w> at </w> war. </w>	Nous </w> sommes </w> en </w> guerre. </w>
We're </w> biased. </w>	Notre </w> point </w> de </w> vue </w> est </w> bi aisé. </w>
We're </w> biased. </w>	Nous </w> avons </w> des </w> pré jug és. </w>
We're </w> buy ing. </w>	Nous </w> achet ons. </w>
We're </w> closed. </w>	Nous </w> sommes </w> fermés. </w>
We're </w> coming. </w>	Nous </w> ven ons. </w>
We're </w> d ating. </w>	Nous </w> sortons </w> ensemble. </w>
We're </w> do ome d. </w>	Nous </w> sommes </w> condamné s. </w>
We're </w> hiding. </w>	Nous </w> nous </w> cach ons. </w>
We're </w> inside. </w>	Nous </w> sommes </w> à </w> l'intérieur. </w>
We're </w> joking. </w>	Nous </w> plaisant ons. </w>
We're </w> losing. </w>	Nous </w> perd ons. </w>
We're </w> losing. </w>	Nous </w> sommes </w> en </w> train </w> de </w> perdre. </w>
We're </w> moving. </w>	Nous </w> sommes </w> en </w> train </w> de </w> bouger. </w>
We're </w> normal. </w>	Nous </w> sommes </w> nor m aux. </w>
We're </w> normal. </w>	Nous </w> sommes </w> normal es. </w>
We're </w> paying. </w>	Nous </w> sommes </w> en </w> train </w> de </w> payer. </w>
We're </w> po o ped. </w>	Nous </w> sommes </w> cre vé s. </w>
We're </w> po o ped. </w>	Nous </w> sommes </w> cre vé es. </w>
We're </w> ru ined. </w>	Nous </w> sommes </w> ruin és. </w>
We're </w> ru ined. </w>	Nous </w> sommes </w> ruin ées. </w>
We're </w> shaken. </w>	Nous </w> sommes </w> remu és. </w>
We're </w> shaken. </w>	Nous </w> sommes </w> remu ées. </w>
We're </w> sneaky. </w>	Nous </w> sommes </w> sour no is. </w>
We're </w> sneaky. </w>	Nous </w> sommes </w> sour nois es. </w>
We're </w> strong. </w>	Nous </w> sommes </w> forts. </w>
We're </w> strong. </w>	Nous </w> sommes </w> fort es. </w>
We're </w> trying. </w>	Nous </w> essay ons. </w>
Welcome </w> back. </w>	Sois </w> de </w> nouveau </w> le </w> bienvenu </w> ! </w>
Welcome </w> back. </w>	Sois </w> de </w> nouveau </w> la </w> bienvenue </w> ! </w>
Welcome </w> back. </w>	Soyez </w> de </w> nouveau </w> le </w> bienvenu </w> ! </w>
Welcome </w> back. </w>	Soyez </w> de </w> nouveau </w> la </w> bienvenue </w> ! </w>
Welcome </w> home. </w>	Bien venue </w> à </w> la </w> maison. </w>
What </w> a </w> loser ! </w>	Quel </w> raté </w> ! </w>
What </w> a </w> loser ! </w>	Quel </w> na ze </w> ! </w>
What </w> a </w> nerve ! </w>	Quel </w> cu lot </w> ! </w>
What </w> a </w> nerve ! </w>	Quel </w> tou pet </w> ! </w>
What </w> a </w> nerve ! </w>	Quelle </w> in sol ence </w> ! </w>
What </w> a </w> night ! </w>	Quelle </w> nuit </w> ! </w>
What </w> a </w> night ! </w>	Quelle </w> soirée </w> ! </w>
What </w> a </w> phon y ! </w>	Quel </w> char lat an </w> ! </w>
What </w> a </w> sha me! </w>	Quelle </w> honte </w> ! </w>
What </w> a </w> sha me! </w>	D om mage </w> ! </w>
What </w> a </w> shock ! </w>	Quel </w> cho c </w> ! </w>
What </w> a </w> waste ! </w>	Quel </w> gâch is </w> ! </w>
What </w> a </w> woman! </w>	Quelle </w> femme </w> ! </w>
What </w> is </w> love? </w>	Qu'est-ce </w> que </w> l'amour </w> ? </w>
What </w> is </w> love? </w>	Qu'est </w> l'amour </w> ? </w>
What </w> is </w> that? </w>	Qu'est-ce </w> que </w> c'est </w> que </w> ça </w> ? </w>
What </w> is </w> that? </w>	Qu'est-ce </w> ? </w>
What </w> is </w> this? </w>	Qu'est-ce </w> que </w> c'est </w> ? </w>
What </w> is </w> this? </w>	Qu'est </w> ceci </w> ? </w>
What's </w> wrong? </w>	Qu'est-ce </w> qui </w> ne </w> va </w> pas </w> ? </w>
Where </w> is </w> Tom? </w>	Où </w> est </w> Tom </w> ? </w>
Where </w> is </w> she? </w>	Où </w> est-elle </w> ? </w>
Who </w> are </w> they? </w>	Qui </w> sont-ils </w> ? </w>
Who </w> are </w> they? </w>	Qui </w> sont-elles </w> ? </w>
Who </w> broke </w> it? </w>	Qui </w> l'a </w> cassé </w> ? </w>
Who </w> built </w> it? </w>	Qui </w> l'a </w> construit </w> ? </w>
Who </w> built </w> it? </w>	Qui </w> l'a </w> bâ ti </w> ? </w>
Who </w> built </w> it? </w>	Qui </w> l'a </w> constru ite </w> ? </w>
Who </w> built </w> it? </w>	Qui </w> l'a </w> bâ tie </w> ? </w>
Who </w> did </w> this? </w>	Qui </w> a </w> fait </w> ça </w> ? </w>
Who </w> has </w> come? </w>	Qui </w> est </w> venu </w> ? </w>
Who </w> is </w> there? </w>	Qui </w> est </w> là </w> ? </w>
Who </w> sent </w> you? </w>	Qui </w> t'a </w> envoyé </w> ? </w>
Who </w> sent </w> you? </w>	Qui </w> t'a </w> envoy ée </w> ? </w>
Who </w> sent </w> you? </w>	Qui </w> vous </w> a </w> envoyé </w> ? </w>
Who </w> sent </w> you? </w>	Qui </w> vous </w> a </w> envoy ée </w> ? </w>
Who </w> told </w> you? </w>	Qui </w> vous </w> l'a </w> dit </w> ? </w>
Who </w> told </w> you? </w>	Qui </w> vous </w> l'a </w> raconté </w> ? </w>
Who </w> vanished ? </w>	Qui </w> a </w> disparu </w> ? </w>
Who </w> vanished ? </w>	Qui </w> s'est </w> é clip sé </w> ? </w>
Who </w> wants </w> it? </w>	Qui </w> veut </w> ça </w> ? </w>
Who </w> wants </w> it? </w>	Qui </w> en </w> veut </w> ? </w>
Who </w> wants </w> it? </w>	Qui </w> le </w> veut </w> ? </w>
Who </w> was </w> here? </w>	Qui </w> était </w> ici </w> ? </w>
Who </w> was </w> that? </w>	C'était </w> qui </w> ? </w>
Who </w> will </w> pay? </w>	Qui </w> va </w> payer </w> ? </w>
Who </w> will </w> pay? </w>	Qui </w> pai era </w> ? </w>
Who </w> will </w> win? </w>	Qui </w> va </w> gagner </w> ? </w>
Who's </w> coming? </w>	Qui </w> vient </w> ? </w>
Who's </w> hungry? </w>	Qui </w> a </w> faim </w> ? </w>
Why </w> not </w> both ? </w>	Pourquoi </w> pas </w> les </w> deux </w> ? </w>
Will </w> he </w> live? </w>	Vi vr a-t-il </w> ? </w>
W ish </w> me </w> luck. </w>	Souha ite -moi </w> chance </w> ! </w>
W ish </w> me </w> luck. </w>	Souha ite z-moi </w> chance </w> ! </w>
Won't </w> you </w> go? </w>	Ne </w> vas-tu </w> pas </w> y </w> aller </w> ? </w>
Won't </w> you </w> go? </w>	N' allez-vous </w> pas </w> y </w> aller </w> ? </w>
Write </w> in </w> ink. </w>	E cri vez </w> à </w> l'en cre. </w>
Write </w> to </w> Tom. </w>	Écris </w> à </w> Tom. </w>
Write </w> to </w> Tom. </w>	Écrivez </w> à </w> Tom. </w>
Year s </w> passed. </w>	Des </w> années </w> ont </w> passé. </w>
You </w> amuse </w> me. </w>	Tu </w> m' amus es. </w>
You </w> are </w> good. </w>	Vous </w> êtes </w> bon. </w>
You </w> are </w> good. </w>	Vous </w> êtes </w> bonne. </w>
You </w> are </w> good. </w>	Vous </w> êtes </w> bons. </w>
You </w> are </w> good. </w>	Vous </w> êtes </w> bonnes. </w>
You </w> are </w> good. </w>	Tu </w> es </w> bon. </w>
You </w> are </w> good. </w>	Tu </w> es </w> bonne. </w>
You </w> are </w> late. </w>	Tu </w> es </w> en </w> retard. </w>
You </w> are </w> late. </w>	Vous </w> êtes </w> en </w> retard. </w>
You </w> are </w> rich. </w>	Vous </w> êtes </w> riches. </w>
You </w> can </w> come. </w>	Tu </w> peux </w> te </w> joindre. </w>
You </w> can </w> come. </w>	Vous </w> pouvez </w> venir. </w>
You </w> can </w> help. </w>	Tu </w> peux </w> aider. </w>
You </w> can </w> rest. </w>	Vous </w> pouvez </w> vous </w> reposer. </w>
You </w> did </w> that. </w>	Vous </w> avez </w> fait </w> cela. </w>
You </w> did </w> that. </w>	Vous </w> avez </w> fait </w> ça. </w>
You </w> did </w> that. </w>	Tu </w> as </w> fait </w> ça. </w>
You </w> did </w> this. </w>	Tu </w> as </w> fais </w> ceci. </w>
You </w> did </w> this. </w>	Vous </w> avez </w> fait </w> ceci. </w>
You </w> go </w> first. </w>	Vas -y </w> d'abord. </w>
You </w> go </w> first. </w>	Alle z- y. </w>
You </w> go </w> first. </w>	Je </w> vous </w> en </w> prie. </w>
You </w> go </w> first. </w>	Toi </w> d'abord. </w>
You </w> go </w> first. </w>	Vous </w> en </w> premier. </w>
You </w> go </w> first. </w>	Je </w> t'en </w> prie. </w>
You </w> hurt </w> him. </w>	Tu </w> l'as </w> blessé. </w>
You </w> look </w> fat. </w>	Vous </w> avez </w> l'air </w> gros. </w>
You </w> look </w> fat. </w>	Tu </w> as </w> l'air </w> gros. </w>
You </w> look </w> fat. </w>	Tu </w> as </w> l'air </w> grosse. </w>
You </w> look </w> fat. </w>	Vous </w> avez </w> l'air </w> grosse. </w>
You </w> may </w> swim. </w>	Vous </w> pouvez </w> nager. </w>
You </w> may </w> swim. </w>	Tu </w> peux </w> nager. </w>
You </w> may </w> swim. </w>	Tu </w> as </w> la </w> permission </w> de </w> nager. </w>
You </w> must </w> run. </w>	Tu </w> dois </w> courir. </w>
You </w> must </w> run. </w>	Vous </w> devez </w> courir. </w>
You </w> promised. </w>	Tu </w> as </w> promis. </w>
You </w> promised. </w>	Vous </w> avez </w> promis. </w>
You </w> scare </w> me. </w>	Tu </w> me </w> fais </w> peur. </w>
You </w> scare </w> me. </w>	Vous </w> me </w> faites </w> peur. </w>
You </w> were </w> shy. </w>	Tu </w> étais </w> timide. </w>
You </w> were </w> shy. </w>	Vous </w> étiez </w> timide. </w>
You </w> will </w> die. </w>	Tu </w> mour r as. </w>
You'll </w> be </w> OK. </w>	Ça </w> ira. </w>
You're </w> bossy. </w>	Tu </w> joues </w> au </w> chef. </w>
You're </w> bossy. </w>	Tu </w> fais </w> le </w> chef. </w>
You're </w> crazy. </w>	Tu </w> es </w> fou. </w>
You're </w> crazy. </w>	Tu </w> es </w> cing lé. </w>
You're </w> cruel. </w>	Tu </w> es </w> cru elle. </w>
You're </w> cruel. </w>	Tu </w> es </w> cruel. </w>
You're </w> cruel. </w>	Vous </w> êtes </w> cru elle. </w>
You're </w> cruel. </w>	Vous </w> êtes </w> cru elles. </w>
You're </w> cruel. </w>	Vous </w> êtes </w> cruel. </w>
You're </w> cruel. </w>	Vous </w> êtes </w> cruel s. </w>
You're </w> dirty. </w>	Tu </w> es </w> sale. </w>
You're </w> dirty. </w>	Vous </w> êtes </w> sale. </w>
You're </w> dirty. </w>	Vous </w> êtes </w> sales. </w>
You're </w> drunk. </w>	Tu </w> es </w> saoul. </w>
You're </w> drunk. </w>	Tu </w> es </w> saou le. </w>
You're </w> drunk. </w>	Vous </w> êtes </w> saou ls. </w>
You're </w> drunk. </w>	Vous </w> êtes </w> saou les. </w>
You're </w> drunk. </w>	Vous </w> êtes </w> saoul. </w>
You're </w> drunk. </w>	Vous </w> êtes </w> saou le. </w>
You're </w> early. </w>	Tu </w> viens </w> tôt. </w>
You're </w> early. </w>	Vous </w> êtes </w> matin al. </w>
You're </w> early. </w>	Vous </w> êtes </w> matin ale. </w>
You're </w> early. </w>	Tu </w> es </w> matin al. </w>
You're </w> early. </w>	Tu </w> es </w> matin ale. </w>
You're </w> early. </w>	Tu </w> es </w> en </w> avance. </w>
You're </w> early. </w>	Vous </w> êtes </w> en </w> avance. </w>
You're </w> fired. </w>	Tu </w> es </w> viré. </w>
You're </w> fired. </w>	Tu </w> es </w> licenci é. </w>
You're </w> first. </w>	Tu </w> es </w> en </w> premier. </w>
You're </w> first. </w>	Tu </w> passes </w> en </w> premier. </w>
You're </w> first. </w>	Vous </w> êtes </w> en </w> premier. </w>
You're </w> funny. </w>	T'es </w> mar rante. </w>
You're </w> funny. </w>	T'es </w> marrant. </w>
You're </w> funny. </w>	Vous </w> êtes </w> marr ants. </w>
You're </w> funny. </w>	Vous </w> êtes </w> marr antes. </w>
You're </w> funny. </w>	Vous </w> êtes </w> marrant. </w>
You're </w> funny. </w>	Vous </w> êtes </w> mar rante. </w>
You're </w> fussy. </w>	Tu </w> es </w> difficile. </w>
You're </w> fussy. </w>	Tu </w> fais </w> des </w> manières. </w>
You're </w> fussy. </w>	Vous </w> faites </w> des </w> manières. </w>
You're </w> gross ! </w>	Tu </w> es </w> mal poli </w> ! </w>
You're </w> lying ! </w>	Tu </w> mens </w> ! </w>
You're </w> lying ! </w>	Vous </w> mentez </w> ! </w>
You're </w> lying. </w>	Vous </w> mente z. </w>
You're </w> mood y. </w>	Tu </w> es </w> lun atique. </w>
You're </w> naive. </w>	Tu </w> es </w> naïf. </w>
You're </w> naive. </w>	Tu </w> es </w> naïve. </w>
You're </w> naive. </w>	Vous </w> êtes </w> naïf. </w>
You're </w> naive. </w>	Vous </w> êtes </w> naïve. </w>
You're </w> naive. </w>	Vous </w> êtes </w> naï fs. </w>
You're </w> naive. </w>	Vous </w> êtes </w> naï ves. </w>
You're </w> quiet. </w>	Tu </w> es </w> calme. </w>
You're </w> quiet. </w>	Tu </w> es </w> tranquille. </w>
You're </w> right. </w>	Tu </w> as </w> raison. </w>
You're </w> silly. </w>	Tu </w> es </w> idiot. </w>
You're </w> silly. </w>	Vous </w> êtes </w> idiot. </w>
You're </w> silly. </w>	Vous </w> êtes </w> idiote. </w>
You're </w> silly. </w>	Tu </w> es </w> idiote. </w>
You're </w> silly. </w>	Vous </w> êtes </w> idiots. </w>
You're </w> silly. </w>	Vous </w> êtes </w> idiot es. </w>
You're </w> stuck. </w>	T'es </w> plant é. </w>
You're </w> stuck. </w>	T'es </w> plant ée. </w>
You're </w> stuck. </w>	Vous </w> êtes </w> plant és. </w>
You're </w> stuck. </w>	Vous </w> êtes </w> plant ées. </w>
You're </w> stuck. </w>	Vous </w> êtes </w> plant ée. </w>
You're </w> stuck. </w>	Vous </w> êtes </w> plant é. </w>
You're </w> tough. </w>	Tu </w> es </w> dure. </w>
You're </w> tough. </w>	Tu </w> es </w> dur. </w>
You're </w> tough. </w>	Vous </w> êtes </w> dur. </w>
You're </w> tough. </w>	Vous </w> êtes </w> dure. </w>
You're </w> tough. </w>	Vous </w> êtes </w> dur s. </w>
You're </w> tough. </w>	Vous </w> êtes </w> dur es. </w>
You're </w> upset. </w>	Tu </w> es </w> contrariée. </w>
You're </w> upset. </w>	Tu </w> es </w> contrarié. </w>
You're </w> weird. </w>	Tu </w> es </w> bizarre. </w>
You're </w> weird. </w>	Vous </w> êtes </w> bizarre. </w>
You're </w> weird. </w>	Vous </w> êtes </w> bizarres. </w>
You're </w> wrong. </w>	Tu </w> es </w> dans </w> l'erreur. </w>
You're </w> wrong. </w>	Tu </w> as </w> tort. </w>
You're </w> young. </w>	Tu </w> es </w> jeune. </w>
You're </w> young. </w>	Vous </w> êtes </w> jeune. </w>
You're </w> young. </w>	Vous </w> êtes </w> jeunes. </w>
You've </w> tried. </w>	Tu </w> as </w> essayé. </w>
You've </w> tried. </w>	Vous </w> avez </w> essayé. </w>
A </w> car </w> hit </w> Tom. </w>	Tom </w> a </w> été </w> heurté </w> par </w> une </w> voiture. </w>
A </w> car </w> hit </w> Tom. </w>	Tom </w> a </w> été </w> renversé </w> par </w> une </w> voiture. </w>
A </w> car </w> went </w> by. </w>	Une </w> voiture </w> passa . </w>
A in 't </w> he </w> cute ? </w>	N 'est-il </w> pas </w> mignon </w> ? </w>
Air </w> the </w> fut on. </w>	A ère </w> le </w> fut on </w> ! </w>
Air </w> the </w> fut on. </w>	A é rez </w> le </w> fut on </w> ! </w>
Am </w> I </w> dream ing? </w>	Suis-je </w> en </w> train </w> de </w> rêver </w> ? </w>
Am </w> I </w> included ? </w>	Suis-je </w> in clus </w> ? </w>
Am </w> I </w> included ? </w>	Suis-je </w> inclu se </w> ? </w>
Am </w> I </w> mistak en? </w>	Est-ce </w> que </w> je </w> me </w> trompe </w> ? </w>
